Symbol,Start Date
1INCHUSDT,2020-12-25
AAVEUSDT,2020-10-16
ADABUSD,2021-08-02
ADAUSDT,2020-01-31
AKROUSDT,2021-01-19
ALGOUSDT,2020-06-16
ALICEUSDT,2020-11-23
ANCBUSD,2022-05-25
ANKRUSDT,2021-01-26
ANTUSDT,2022-03-02
APEBUSD,2021-12-30
APEUSDT,2022-06-05
API3USDT,2022-02-25
ARPAUSDT,2021-10-22
ARUSDT,2021-10-01
ATAUSDT,2021-09-08
ATOMUSDT,2022-03-02
AUCTIONBUSD,2022-08-10
AUDIOUSDT,2021-09-06
AVAXBUSD,2022-05-17
AVAXUSDT,2022-03-21
AXSUSDT,2022-03-21
BAKEUSDT,2022-06-06
BALUSDT,2022-03-21
BANDUSDT,2022-03-21
BATUSDT,2022-03-21
BCHUSDT,2022-03-21
BELUSDT,2022-03-21
BLZUSDT,2022-03-21
BNBBUSD,2021-09-02
BNBUSDT,2022-03-21
BNXUSDT,2022-04-04
BTCBUSD,2022-03-21
BTCBUSD_210129,2022-06-05
BTCBUSD_210226,2022-06-05
BTCDOMUSDT,2021-07-31
BTCSTUSDT,2021-07-31
BTCUSDT,2022-08-08
BTCUSDT_210326,2022-03-21
BTCUSDT_210625,2022-08-08
BTCUSDT_210924,2022-06-05
BTCUSDT_211231,2021-09-25
BTCUSDT_220325,2021-12-27
BTCUSDT_220624,2022-03-26
BTCUSDT_220930,2022-06-29
BTSUSDT,2022-03-21
BTTUSDT,2022-06-05
BZRXUSDT,2022-03-21
C98USDT,2021-09-07
CELOUSDT,2021-09-30
CELRUSDT,2022-08-08
CHRUSDT,2022-08-08
CHZUSDT,2022-06-05
COMPUSDT,2022-03-21
COTIUSDT,2022-06-05
CRVUSDT,2022-03-21
CTKUSDT,2022-03-21
CTSIUSDT,2021-10-29
CVCUSDT,2021-10-29
CVXBUSD,2022-07-18
DARUSDT,2022-05-02
DASHUSDT,2022-03-21
DEFIUSDT,2022-03-21
DENTUSDT,2022-06-05
DGBUSDT,2022-06-06
DODOBUSD,2022-05-29
DODOUSDT,2022-03-22
DOGEBUSD,2021-09-06
DOGEUSDT,2022-03-21
DOTBUSD,2022-06-08
DOTUSDT,2020-08-22
DUSKUSDT,2022-01-07
DYDXUSDT,2021-09-10
EGLDUSDT,2020-09-14
ENJUSDT,2020-09-29
ENSUSDT,2021-11-30
EOSUSDT,2020-01-08
ETCBUSD,2022-07-28
ETCUSDT,2020-01-16
ETHBUSD,2021-06-16
ETHUSDT,2019-12-31
FILBUSD,2022-07-20
FILUSDT,2020-10-16
FLMUSDT,2020-09-29
FLOWUSDT,2022-02-10
FOOTBALLUSDT,2022-09-01
FTMBUSD,2022-05-24
FTMUSDT,2020-09-24
FTTBUSD,2021-09-08
FTTUSDT,2022-04-15
GALABUSD,2022-05-26
GALAUSDT,2021-09-18
GALBUSD,2022-05-24
GALUSDT,2022-05-05
GMTBUSD,2022-05-18
GMTUSDT,2022-03-15
GRTUSDT,2020-12-19
GTCUSDT,2021-06-11
HBARUSDT,2021-03-17
HNTUSDT,2020-09-28
HOTUSDT,2021-03-30
ICPBUSD,2022-06-09
ICPUSDT,2021-05-11
ICXUSDT,2020-09-15
IMXUSDT,2022-06-09
INJUSDT,2022-08-17
IOSTUSDT,2020-02-21
IOTAUSDT,2020-02-12
IOTXUSDT,2021-08-12
JASMYUSDT,2022-04-20
KAVAUSDT,2020-07-28
KEEPUSDT,2021-06-22
KLAYUSDT,2021-10-12
KNCUSDT,2020-06-22
KSMUSDT,2020-10-14
LDOBUSD,2022-07-28
LENDUSDT,2020-07-23
LEVERBUSD,2022-07-20
LINAUSDT,2021-03-19
LINKBUSD,2022-06-30
LINKUSDT,2020-01-17
LITUSDT,2021-02-18
LPTUSDT,2021-11-11
LRCUSDT,2020-10-19
LTCBUSD,2022-07-07
LTCUSDT,2020-01-09
LUNA2BUSD,2022-06-01
LUNA2USDT,2022-09-10
LUNABUSD,2022-05-12
LUNAUSDT,2021-01-28
MANAUSDT,2021-03-15
MASKUSDT,2021-08-27
MATICBUSD,2022-07-13
MATICUSDT,2020-10-22
MKRUSDT,2020-08-13
MTLUSDT,2021-03-31
NEARBUSD,2020-10-15
NEARUSDT,2022-05-17
NEOUSDT,2022-02-17
NKNUSDT,2021-04-09
NUUSDT,2021-10-21
OCEANUSDT,2020-11-03
OGNUSDT,2021-04-01
OMGUSDT,2020-07-02
ONEUSDT,2021-03-18
ONTUSDT,2020-02-11
OPUSDT,2022-06-01
PEOPLEUSDT,2021-12-24
QTUMUSDT,2020-02-20
RAYUSDT,2021-08-20
REEFUSDT,2021-02-22
RENUSDT,2020-10-13
RLCUSDT,2020-07-31
ROSEUSDT,2021-12-31
RSRUSDT,2020-10-19
RUNEUSDT,2020-09-04
RVNUSDT,2021-02-23
SANDBUSD,2022-07-07
SANDUSDT,2021-01-25
SCUSDT,2021-04-12
SFPUSDT,2021-02-24
SKLUSDT,2020-12-08
SNXUSDT,2020-08-14
SOLBUSD,2021-09-03
SOLUSDT,2020-09-14
SPELLUSDT,2022-09-06
SRMUSDT,2020-09-05
STGUSDT,2022-08-25
STMXUSDT,2021-03-22
STORJUSDT,2020-09-16
SUSHIUSDT,2020-09-04
SXPUSDT,2020-07-21
THETAUSDT,2020-05-27
TLMBUSD,2022-06-09
TLMUSDT,2021-07-16
TOMOUSDT,2020-10-12
TRBUSDT,2020-09-03
TRXBUSD,2022-05-26
TRXUSDT,2020-01-15
UNFIUSDT,2021-02-19
UNIBUSD,2022-08-05
UNIUSDT,2020-09-18
VETUSDT,2020-02-14
WAVESBUSD,2022-06-29
WAVESUSDT,2020-08-12
WOOUSDT,2022-04-08
XEMUSDT,2021-03-03
XLMUSDT,2020-01-20
XMRUSDT,2020-02-03
XRPBUSD,2021-08-09
XRPUSDT,2020-01-06
XTZUSDT,2020-02-06
YFIIUSDT,2020-09-03
YFIUSDT,2020-08-31
ZECUSDT,2022-02-05
ZENUSDT,2020-11-24
ZILUSDT,2020-06-18
ZRXUSDT,2020-06-24
